,Position,Track Name,Streams,Chart Start Date,Chart End Date,Album Name,Release Date,Artist,Features,Song Duration(ms),Explicit,Url
664,5, Kiss Me More (feat. SZA) by Doja Cat ,"36,768,939",2021-05-21,2021-05-28,Kiss Me More (feat. SZA),2021-04-09,Doja Cat,SZA,208866,True,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
665,6, drivers license by Olivia Rodrigo ,"35,848,140",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,242013,True,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
666,7, traitor by Olivia Rodrigo ,"32,922,131",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
667,8, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"32,353,637",2021-05-21,2021-05-28,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
668,9, brutal by Olivia Rodrigo ,"30,556,582",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,143746,True,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
669,10, Levitating (feat. DaBaby) by Dua Lipa ,"28,979,432",2021-05-21,2021-05-28,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
670,11, enough for you by Olivia Rodrigo ,"27,845,206",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,202826,False,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
671,12, happier by Olivia Rodrigo ,"27,142,760",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,175933,True,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
672,13," 1 step forward, 3 steps back by Olivia Rodrigo ","24,592,939",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,163586,True,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
673,14, favorite crime by Olivia Rodrigo ,"24,070,591",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,152666,False,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
674,15, Astronaut In The Ocean by Masked Wolf ,"23,264,862",2021-05-21,2021-05-28,Astronomical,2021-09-10,Masked Wolf,None,132780,True,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
675,16," Leave The Door Open by Bruno Mars, Anderson .Paak, Silk Sonic ","22,690,097",2021-05-21,2021-05-28,Leave The Door Open,2021-03-05,Bruno Mars,"Anderson .Paak,Silk Sonic",242096,False,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
676,17," jealousy, jealousy by Olivia Rodrigo ","22,369,988",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,173160,False,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
677,18," Fiel by Los Legendarios, Wisin, Jhay Cortez ","21,593,593",2021-05-21,2021-05-28,Los Legendarios 001,2021-02-04,Los Legendarios,"Wisin,Jhay Cortez",261665,False,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
