,Position,Track Name,Streams,Chart Start Date,Chart End Date,Album Name,Release Date,Artist,Features,Song Duration(ms),Explicit,Url
271,2, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"43,376,274",2021-08-20,2021-08-27,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,Lil Nas X,Jack Harlow,212000,True,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
272,3, Bad Habits by Ed Sheeran ,"36,495,254",2021-08-20,2021-08-27,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
273,4, Beggin' by Måneskin ,"35,676,365",2021-08-20,2021-08-27,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
274,5, good 4 u by Olivia Rodrigo ,"31,686,456",2021-08-20,2021-08-27,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
275,6, Need to Know by Doja Cat ,"29,990,272",2021-08-20,2021-08-27,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
276,7, Pepas by Farruko ,"28,769,701",2021-08-20,2021-08-27,Pepas,2021-06-24,Farruko,None,287120,True,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
277,8, Happier Than Ever by Billie Eilish ,"26,238,860",2021-08-20,2021-08-27,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
278,9, Woman by Doja Cat ,"24,707,851",2021-08-20,2021-08-27,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
279,10, Kiss Me More (feat. SZA) by Doja Cat ,"24,583,270",2021-08-20,2021-08-27,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
280,11, MONTERO (Call Me By Your Name) by Lil Nas X ,"24,460,357",2021-08-20,2021-08-27,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,None,137875,True,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
281,12, Todo De Ti by Rauw Alejandro ,"21,554,888",2021-08-20,2021-08-27,VICE VERSA,2021-06-25,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
282,13, Take My Breath by The Weeknd ,"20,484,982",2021-08-20,2021-08-27,Take My Breath,2021-08-05,The Weeknd,None,220196,False,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
283,14," Volví by Aventura, Bad Bunny ","20,239,899",2021-08-20,2021-08-27,Volví,2021-08-03,Aventura,Bad Bunny,230125,True,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
284,15, Yonaguni by Bad Bunny ,"19,446,379",2021-08-20,2021-08-27,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
285,16, I WANNA BE YOUR SLAVE by Måneskin ,"19,252,650",2021-08-20,2021-08-27,Teatro d'ira - Vol. I,2021-03-19,Måneskin,None,173346,True,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
286,17, Levitating (feat. DaBaby) by Dua Lipa ,"18,010,763",2021-08-20,2021-08-27,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
287,18, traitor by Olivia Rodrigo ,"17,749,866",2021-08-20,2021-08-27,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
288,19," Qué Más Pues? by J Balvin, Maria Becerra ","17,703,299",2021-08-20,2021-08-27,Qué Más Pues?,2021-05-28,J Balvin,Maria Becerra,217773,False,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
289,20, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"16,834,303",2021-08-20,2021-08-27,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
290,21, Save Your Tears (with Ariana Grande) (Remix) by The Weeknd ,"15,228,272",2021-08-20,2021-08-27,Save Your Tears (Remix),2021-04-23,The Weeknd,Ariana Grande,191013,False,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
291,22, deja vu by Olivia Rodrigo ,"14,519,295",2021-08-20,2021-08-27,SOUR,2021-05-21,Olivia Rodrigo,None,215506,True,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
292,23, Butter by BTS ,"14,324,552",2021-08-20,2021-08-27,"Butter (Hotter, Sweeter, Cooler)",2021-06-04,BTS,None,164441,False,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
293,24, París by Ingratax ,"14,168,711",2021-08-20,2021-08-27,París,2021-07-09,Ingratax,None,151428,False,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
294,25, Heat Waves by Glass Animals ,"14,097,863",2021-08-20,2021-08-27,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
295,26, Blinding Lights by The Weeknd ,"14,088,762",2021-08-20,2021-08-27,After Hours,2020-03-20,The Weeknd,None,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
296,27," AM Remix by Nio Garcia, J Balvin, Bad Bunny ","13,847,228",2021-08-20,2021-08-27,AM Remix,2021-06-24,Nio Garcia,"J Balvin,Bad Bunny",261334,True,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
297,28, drivers license by Olivia Rodrigo ,"13,569,526",2021-08-20,2021-08-27,SOUR,2021-05-21,Olivia Rodrigo,None,242013,True,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
298,29," Volando - Remix by Mora, Bad Bunny, Sech ","13,566,477",2021-08-20,2021-08-27,Volando (Remix),2021-07-08,Mora,"Bad Bunny,Sech",273474,True,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
299,30, Visiting Hours by Ed Sheeran ,"13,184,094",2021-08-20,2021-08-27,Visiting Hours,2021-08-19,Ed Sheeran,None,215506,False,https://open.spotify.com/track/44V6EzbUSYgyfsNiP0FrlA
300,1, STAY (with Justin Bieber) by The Kid LAROI ,"69,314,436",2021-08-13,2021-08-20,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
301,2, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"42,998,934",2021-08-13,2021-08-20,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,Lil Nas X,Jack Harlow,212000,True,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
302,3, Beggin' by Måneskin ,"37,897,270",2021-08-13,2021-08-20,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
303,4, Bad Habits by Ed Sheeran ,"36,339,795",2021-08-13,2021-08-20,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
304,5, good 4 u by Olivia Rodrigo ,"32,855,051",2021-08-13,2021-08-20,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
305,6, Happier Than Ever by Billie Eilish ,"29,184,657",2021-08-13,2021-08-20,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
306,7, Need to Know by Doja Cat ,"29,028,484",2021-08-13,2021-08-20,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
307,8, Pepas by Farruko ,"27,725,453",2021-08-13,2021-08-20,Pepas,2021-06-24,Farruko,None,287120,True,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
308,9, MONTERO (Call Me By Your Name) by Lil Nas X ,"25,660,450",2021-08-13,2021-08-20,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,None,137875,True,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
309,10, Kiss Me More (feat. SZA) by Doja Cat ,"25,213,226",2021-08-13,2021-08-20,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
310,11, Take My Breath by The Weeknd ,"23,480,943",2021-08-13,2021-08-20,Take My Breath,2021-08-05,The Weeknd,None,220196,False,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
311,12, Todo De Ti by Rauw Alejandro ,"23,084,992",2021-08-13,2021-08-20,VICE VERSA,2021-06-25,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
312,13," Volví by Aventura, Bad Bunny ","22,193,322",2021-08-13,2021-08-20,Volví,2021-08-03,Aventura,Bad Bunny,230125,True,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
313,14, Woman by Doja Cat ,"21,069,286",2021-08-13,2021-08-20,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
314,15, I WANNA BE YOUR SLAVE by Måneskin ,"20,911,007",2021-08-13,2021-08-20,Teatro d'ira - Vol. I,2021-03-19,Måneskin,None,173346,True,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
315,16, Yonaguni by Bad Bunny ,"20,589,347",2021-08-13,2021-08-20,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
316,17," Qué Más Pues? by J Balvin, Maria Becerra ","19,101,402",2021-08-13,2021-08-20,Qué Más Pues?,2021-05-28,J Balvin,Maria Becerra,217773,False,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
317,18, Levitating (feat. DaBaby) by Dua Lipa ,"19,093,444",2021-08-13,2021-08-20,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
318,19, traitor by Olivia Rodrigo ,"18,214,531",2021-08-13,2021-08-20,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
319,20, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"17,692,958",2021-08-13,2021-08-20,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
320,21, Rumors (feat. Cardi B) by Lizzo ,"15,932,972",2021-08-13,2021-08-20,Rumors (feat. Cardi B),2021-08-13,Lizzo,Cardi B,172832,True,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
321,22, Save Your Tears (with Ariana Grande) (Remix) by The Weeknd ,"15,899,143",2021-08-13,2021-08-20,Save Your Tears (Remix),2021-04-23,The Weeknd,Ariana Grande,191013,False,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
322,23, Butter by BTS ,"15,220,201",2021-08-13,2021-08-20,"Butter (Hotter, Sweeter, Cooler)",2021-06-04,BTS,None,164441,False,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
323,24, deja vu by Olivia Rodrigo ,"15,033,767",2021-08-13,2021-08-20,SOUR,2021-05-21,Olivia Rodrigo,None,215506,True,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
324,25," AM Remix by Nio Garcia, J Balvin, Bad Bunny ","15,002,110",2021-08-13,2021-08-20,AM Remix,2021-06-24,Nio Garcia,"J Balvin,Bad Bunny",261334,True,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
325,26," Volando - Remix by Mora, Bad Bunny, Sech ","14,313,477",2021-08-13,2021-08-20,Volando (Remix),2021-07-08,Mora,"Bad Bunny,Sech",273474,True,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
326,27, Blinding Lights by The Weeknd ,"14,243,833",2021-08-13,2021-08-20,After Hours,2020-03-20,The Weeknd,None,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
327,28, Permission to Dance by BTS ,"14,121,740",2021-08-13,2021-08-20,Permission to Dance,2021-07-23,BTS,None,187585,False,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
328,29, Heat Waves by Glass Animals ,"14,093,432",2021-08-13,2021-08-20,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
329,30, drivers license by Olivia Rodrigo ,"13,929,267",2021-08-13,2021-08-20,SOUR,2021-05-21,Olivia Rodrigo,None,242013,True,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
330,1, STAY (with Justin Bieber) by The Kid LAROI ,"61,564,095",2021-08-06,2021-08-13,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
331,2, Beggin' by Måneskin ,"40,391,324",2021-08-06,2021-08-13,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
332,3, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"39,868,624",2021-08-06,2021-08-13,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,Lil Nas X,Jack Harlow,212000,True,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
333,4, Bad Habits by Ed Sheeran ,"36,835,047",2021-08-06,2021-08-13,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
334,5, good 4 u by Olivia Rodrigo ,"34,440,020",2021-08-06,2021-08-13,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
335,6, Happier Than Ever by Billie Eilish ,"32,904,896",2021-08-06,2021-08-13,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
336,7, Take My Breath by The Weeknd ,"26,610,944",2021-08-06,2021-08-13,Take My Breath,2021-08-06,The Weeknd,None,220196,False,https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF
337,8, Kiss Me More (feat. SZA) by Doja Cat ,"26,400,469",2021-08-06,2021-08-13,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
338,9, MONTERO (Call Me By Your Name) by Lil Nas X ,"26,255,732",2021-08-06,2021-08-13,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,None,137875,True,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
339,10," Volví by Aventura, Bad Bunny ","25,261,084",2021-08-06,2021-08-13,Volví,2021-08-03,Aventura,Bad Bunny,230125,True,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
340,11, Need to Know by Doja Cat ,"24,905,309",2021-08-06,2021-08-13,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
341,12, Todo De Ti by Rauw Alejandro ,"24,055,680",2021-08-06,2021-08-13,VICE VERSA,2021-06-25,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
342,13, Pepas by Farruko ,"23,563,881",2021-08-06,2021-08-13,Pepas,2021-06-24,Farruko,None,287120,True,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
343,14, I WANNA BE YOUR SLAVE by Måneskin ,"22,141,329",2021-08-06,2021-08-13,Teatro d'ira - Vol. I,2021-03-19,Måneskin,None,173346,True,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
344,15, Yonaguni by Bad Bunny ,"21,674,116",2021-08-06,2021-08-13,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
345,16," Qué Más Pues? by J Balvin, Maria Becerra ","20,396,947",2021-08-06,2021-08-13,Qué Más Pues?,2021-05-28,J Balvin,Maria Becerra,217773,False,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
346,17, Levitating (feat. DaBaby) by Dua Lipa ,"19,928,219",2021-08-06,2021-08-13,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
347,18, traitor by Olivia Rodrigo ,"18,995,629",2021-08-06,2021-08-13,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
348,19, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"18,282,030",2021-08-06,2021-08-13,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
349,20, Save Your Tears (with Ariana Grande) (Remix) by The Weeknd ,"17,075,818",2021-08-06,2021-08-13,Save Your Tears (Remix),2021-04-23,The Weeknd,Ariana Grande,191013,False,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
350,21, Butter by BTS ,"16,303,121",2021-08-06,2021-08-13,"Butter (Hotter, Sweeter, Cooler)",2021-06-04,BTS,None,164441,False,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
351,22, Permission to Dance by BTS ,"16,035,330",2021-08-06,2021-08-13,Permission to Dance,2021-07-23,BTS,None,187585,False,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
352,23," AM Remix by Nio Garcia, J Balvin, Bad Bunny ","15,865,191",2021-08-06,2021-08-13,AM Remix,2021-06-24,Nio Garcia,"J Balvin,Bad Bunny",261334,True,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
353,24, deja vu by Olivia Rodrigo ,"15,756,183",2021-08-06,2021-08-13,SOUR,2021-05-21,Olivia Rodrigo,None,215506,True,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
354,25," Volando - Remix by Mora, Bad Bunny, Sech ","14,754,809",2021-08-06,2021-08-13,Volando (Remix),2021-07-08,Mora,"Bad Bunny,Sech",273474,True,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
355,26, Blinding Lights by The Weeknd ,"14,730,758",2021-08-06,2021-08-13,After Hours,2020-03-20,The Weeknd,None,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
356,27, Woman by Doja Cat ,"14,729,258",2021-08-06,2021-08-13,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
357,28, Ain't Shit by Doja Cat ,"14,560,977",2021-08-06,2021-08-13,Planet Her,2021-06-25,Doja Cat,None,174253,True,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
358,29, drivers license by Olivia Rodrigo ,"14,405,910",2021-08-06,2021-08-13,SOUR,2021-05-21,Olivia Rodrigo,None,242013,True,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
359,30, Heat Waves by Glass Animals ,"14,388,852",2021-08-06,2021-08-13,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
360,1, STAY (with Justin Bieber) by The Kid LAROI ,"53,295,313",2021-07-30,2021-08-06,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
361,2, Beggin' by Måneskin ,"43,774,815",2021-07-30,2021-08-06,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
362,3, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"37,785,225",2021-07-30,2021-08-06,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,Lil Nas X,Jack Harlow,212000,True,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
363,4, Bad Habits by Ed Sheeran ,"37,233,342",2021-07-30,2021-08-06,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
364,5, good 4 u by Olivia Rodrigo ,"36,592,001",2021-07-30,2021-08-06,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
365,6, Happier Than Ever by Billie Eilish ,"33,200,672",2021-07-30,2021-08-06,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
366,7, MONTERO (Call Me By Your Name) by Lil Nas X ,"27,905,645",2021-07-30,2021-08-06,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,None,137875,True,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
367,8, Kiss Me More (feat. SZA) by Doja Cat ,"27,190,287",2021-07-30,2021-08-06,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
368,9, Todo De Ti by Rauw Alejandro ,"25,472,753",2021-07-30,2021-08-06,VICE VERSA,2021-06-25,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
369,10, Yonaguni by Bad Bunny ,"23,679,793",2021-07-30,2021-08-06,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
370,11, I WANNA BE YOUR SLAVE by Måneskin ,"23,030,243",2021-07-30,2021-08-06,Teatro d'ira - Vol. I,2021-03-19,Måneskin,None,173346,True,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
371,12," Qué Más Pues? by J Balvin, Maria Becerra ","21,494,431",2021-07-30,2021-08-06,Qué Más Pues?,2021-05-28,J Balvin,Maria Becerra,217773,False,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
372,13, Levitating (feat. DaBaby) by Dua Lipa ,"21,091,829",2021-07-30,2021-08-06,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
373,14, Pepas by Farruko ,"19,908,958",2021-07-30,2021-08-06,Pepas,2021-06-24,Farruko,None,287120,True,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
374,15, Need to Know by Doja Cat ,"19,601,126",2021-07-30,2021-08-06,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
375,16, traitor by Olivia Rodrigo ,"19,465,827",2021-07-30,2021-08-06,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
376,17, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"19,198,085",2021-07-30,2021-08-06,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
377,18, Permission to Dance by BTS ,"18,555,736",2021-07-30,2021-08-06,Permission to Dance,2021-07-23,BTS,None,187585,False,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
378,19, Butter by BTS ,"17,893,520",2021-07-30,2021-08-06,"Butter (Hotter, Sweeter, Cooler)",2021-06-04,BTS,None,164441,False,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
379,20, Save Your Tears (with Ariana Grande) (Remix) by The Weeknd ,"17,033,721",2021-07-30,2021-08-06,Save Your Tears (Remix),2021-04-23,The Weeknd,Ariana Grande,191013,False,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
380,21, deja vu by Olivia Rodrigo ,"16,794,979",2021-07-30,2021-08-06,SOUR,2021-05-21,Olivia Rodrigo,None,215506,True,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
381,22," AM Remix by Nio Garcia, J Balvin, Bad Bunny ","16,762,392",2021-07-30,2021-08-06,AM Remix,2021-06-24,Nio Garcia,"J Balvin,Bad Bunny",261334,True,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
382,23," Volando - Remix by Mora, Bad Bunny, Sech ","16,121,576",2021-07-30,2021-08-06,Volando (Remix),2021-07-08,Mora,"Bad Bunny,Sech",273474,True,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
383,24," Leave The Door Open by Bruno Mars, Anderson .Paak, Silk Sonic ","15,287,078",2021-07-30,2021-08-06,Leave The Door Open,2021-03-05,Bruno Mars,"Anderson .Paak,Silk Sonic",242096,False,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
384,25, Ain't Shit by Doja Cat ,"15,249,324",2021-07-30,2021-08-06,Planet Her,2021-06-25,Doja Cat,None,174253,True,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
385,26, drivers license by Olivia Rodrigo ,"14,999,451",2021-07-30,2021-08-06,SOUR,2021-05-21,Olivia Rodrigo,None,242013,True,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
386,27, Heat Waves by Glass Animals ,"14,836,549",2021-07-30,2021-08-06,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
387,28, Blinding Lights by The Weeknd ,"14,550,934",2021-07-30,2021-08-06,After Hours,2020-03-20,The Weeknd,None,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
388,29, happier by Olivia Rodrigo ,"13,709,016",2021-07-30,2021-08-06,SOUR,2021-05-21,Olivia Rodrigo,None,175933,True,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
389,30, NDA by Billie Eilish ,"13,481,770",2021-07-30,2021-08-06,Happier Than Ever,2021-07-30,Billie Eilish,None,195776,True,https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd
390,1, Beggin' by Måneskin ,"48,633,449",2021-07-23,2021-07-30,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
391,2, STAY (with Justin Bieber) by The Kid LAROI ,"47,248,719",2021-07-23,2021-07-30,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
392,3, good 4 u by Olivia Rodrigo ,"40,162,559",2021-07-23,2021-07-30,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
393,4, Bad Habits by Ed Sheeran ,"37,799,456",2021-07-23,2021-07-30,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
394,5, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"33,948,454",2021-07-23,2021-07-30,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,Lil Nas X,Jack Harlow,212000,True,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
